Species	County	Sites	Day
davidii	Kangding	106	2
siphonantha	Kangding	113, 114	2
delavayi	Kangding	115	2
cinerascens	Kangding	115	2
cephalantha	Kangding	28	3
cranolopha (no fork)	Litang	80, 83	4
latituba	Litang	80, 82	4
przewalskii	Litang	17, 16, 82	4
lophotricha	Litang	81	4
dolichocymba	Yajiang	20	5
inaequilobata	Yajiang	18, 21, 23	5
tatsienensis	Yajiang	23	5
longiflora	Dawu	31, 33	6
lutescens	Dawu	31, 33, 34, 37	6
decorissima (purple)	Dawu	35	6
alaschanica	Dawu	52, 122, 43	7
pseudomelapyriflora	Luhuo	41, 122	7
cranolopha	Luhuo	43	7
armata	Hongyuan	126	8
bidentata	Hongyuan	125, 126	8
metaszetschuanica	Jigzhi		9
chinensis	Jigzhi		9
